School,Nickname,Conference,Location,Home Venue
Abilene Christian,Wildcats,Southland,"Abilene, TX",Moody Coliseum
Air Force,Falcons,MWC,"Colorado Springs, CO",Clune Arena
Akron,Zips,MAC,"Akron, OH",James A. Rhodes Arena
Alabama,Crimson Tide,SEC,"Tuscaloosa, AL",Coleman Coliseum
Alabama A&M,Bulldogs,SWAC,"Normal, AL",Elmore Gymnasium
Alabama State,Hornets,SWAC,"Montgomery, AL",Dunn-Oliver Acadome
Albany,Great Danes,AM East,"Albany, NY",SEFCU Arena
Alcorn State,Braves,SWAC,"Lorman, MS",Davey Whitney Complex
American University,Eagles,Patriot,"Washington, DC",Bender Arena
Appalachian State,Mountaineers,Sun Belt,"Boone, NC",George M. Holmes Convocation Center
Arizona,Wildcats,Pac-12,"Tucson, AZ",McKale Center
Arizona State,Sun Devils,Pac-12,"Tempe, AZ",Wells Fargo Arena
Arkansas,Razorbacks,SEC,"Fayetteville, AR",Bud Walton Arena
Arkansas State,Red Wolves,Sun Belt,"Jonesboro, AR",Convocation Center
Arkansas-Pine Bluff,Golden Lions,SWAC,"Pine Bluff, AR",H.O. Clemmons Arena
Army,Black Knights,Patriot,"West Point, NY",Christl Arena
Auburn,Tigers,SEC,"Auburn, AL",Auburn Arena
Austin Peay,Governors,OVC,"Clarksville, TN",Dave Aaron Arena
Ball State,Cardinals,MAC,"Muncie, IN",John E. Worthen Arena
Baylor,Bears,Big 12,"Waco, TX",Ferrell Center
Belmont,Bruins,OVC,"Nashville, TN",Curb Event Center
Bethune-Cookman,Wildcats,MEAC,"Daytona Beach, FL",Moore Gymnasium
Binghamton,Bearcats,AM East,"Vestal, NY",Binghamton University Events Center
Boise State,Broncos,MWC,"Boise, ID",Taco Bell Arena
Boston College,Eagles,ACC,"Chestnut Hill, MA",Conte Forum
Boston University,Terriers,Patriot,"Boston, MA",Agganis Arena
Bowling Green,Falcons,MAC,"Bowling Green, OH",Stroh Center
Bradley,Braves,MVC,"Peoria, IL",Carver Arena
Brigham Young,Cougars,WCC,"Provo, UT",Marriott Center
Brown,Bears,Ivy,"Providence, RI",Pizzitola Sports Center
Bryant,Bulldogs,NEC,"Smithfield, RI",Chace Athletic Center
Bucknell,Bison,Patriot,"Lewisburg, PA",Sojka Pavilion
Buffalo,Bulls,MAC,"Buffalo, NY",Alumni Arena
Butler,Bulldogs,Big East,"Indianapolis, IN",Hinkle Fieldhouse
Cal Poly,Mustangs,Big West,"San Luis Obispo, CA",Mott Gym
Cal State Bakersfield,Roadrunners,WAC,"Bakersfield, CA",Rabobank Arena
Cal State Fullerton,Titans,Big West,"Fullerton, CA",Titan Gym
Cal State Northridge,Matadors,Big West,"Northridge, CA",Matadome
California,Golden Bears,Pac-12,"Berkeley, CA",Haas Pavilion
Campbell,Fighting Camels,Big South,"Buies Creek, NC",John W. Pope Jr. Convocation Center
Canisius,Golden Griffins,MAAC,"Buffalo, NY",Koessler Athletic Center
Central Arkansas,Bears,Southland,"Conway, AR",Farris Center
Central Connecticut State,Blue Devils,NEC,"New Britain, CT",William H. Detrick Gymnasium
Central Michigan,Chippewas,MAC,"Mount Pleasant, MI",McGuirk Arena
Charleston,Cougars,CAA,"Charleston, SC",TD Arena
Charleston Southern,Buccaneers,Big South,"North Charleston, SC",CSU Field House
Charlotte,49ers,C-USA,"Charlotte, NC",Dale F. Halton Arena
Chattanooga,Mocs,SoCon,"Chattanooga, TN",McKenzie Arena
Chicago State,Cougars,WAC,"Chicago, IL",Emil and Patricia Jones Convocation Center
Cincinnati,Bearcats,AAC,"Cincinnati, OH",Fifth Third Arena
Citadel,Bulldogs,SoCon,"Charleston, SC",McAlister Field House
Clemson,Tigers,ACC,"Clemson, SC",Littlejohn Coliseum
Cleveland State,Vikings,Horizon,"Cleveland, OH",Wolstein Center
Coastal Carolina,Chanticleers,Sun Belt,"Conway, SC",The HTC Center
Colgate,Raiders,Patriot,"Hamilton, NY",Cotterell Court
Colorado,Buffaloes,Pac-12,"Boulder, CO",Coors Events Center
Colorado State,Rams,MWC,"Fort Collins, CO",Moby Arena
Columbia,Lions,Ivy,"New York, NY",Levien Gymnasium
Connecticut,Huskies,AAC,"Hartford, CT",XL Center
Coppin State,Eagles,MEAC,"Baltimore, MD",Physical Education Complex
Cornell,Big Red,Ivy,"Ithaca, NY",Newman Arena
Creighton,Bluejays,Big East,"Omaha, NE",CenturyLink Center Omaha
Dartmouth,Big Green,Ivy,"Hanover, NH",Leede Arena
Davidson,Wildcats,A-10,"Davidson, NC",John M. Belk Arena
Dayton,Flyers,A-10,"Dayton, OH",University of Dayton Arena
Delaware,Fightin Blue Hens,CAA,"Newark, DE",Bob Carpenter Center
Delaware State,Hornets,MEAC,"Dover, DE",Memorial Hall
Denver,Pioneers,Summit,"Denver, CO",Magness Arena
DePaul,Blue Demons,Big East,"Rosemont, IL",Allstate Arena
Detroit,Titans,Horizon,"Detroit, MI",Calihan Hall
Drake,Bulldogs,MVC,"Des Moines, IA",Knapp Center
Drexel,Dragons,CAA,"Philadelphia, PA",Daskalakis Athletic Center
Duke,Blue Devils,ACC,"Durham, NC",Cameron Indoor Stadium
Duquesne,Dukes,A-10,"Pittsburgh, PA",A.J. Palumbo Center
East Carolina,Pirates,AAC,"Greenville, NC",Williams Arena at Minges Coliseum
East Tennessee State,Buccaneers,SoCon,"Johnson City, TN",Freedom Hall Civic Center
Eastern Illinois,Panthers,OVC,"Charleston, IL",Lantz Arena
Eastern Kentucky,Colonels,OVC,"Richmond, KY",McBrayer Arena
Eastern Michigan,Eagles,MAC,"Ypsilanti, MI",Convocation Center
Eastern Washington,Eagles,Big Sky,"Cheney, WA",Reese Court
Elon,Phoenix,CAA,"Elon, NC",Alumni Gymnasium
Evansville,Aces,MVC,"Evansville, IN",Ford Center
Fairfield,Stags,MAAC,"Bridgeport, CT",Webster Bank Arena
Fairleigh Dickinson,Knights,NEC,"Hackensack, NJ",Rothman Center
Florida,Gators,SEC,"Gainesville, FL",Stephen C. O'Connell Center
Florida A&M,Rattlers,MEAC,"Tallahassee, FL",Alfred Lawson Center
Florida Atlantic,Owls,C-USA,"Boca Raton, FL",FAU Arena
Florida Gulf Coast,Eagles,A-Sun,"Fort Myers, FL",Alico Arena
Florida International,Golden Panthers,C-USA,"Miami, FL",FIU Arena
Florida State,Seminoles,ACC,"Tallahassee, FL",Donald L. Tucker Center
Fordham,Rams,A-10,"Bronx, NY",Rose Hill Gymnasium
Fort Wayne,Mastodons,Summit,"Fort Wayne, IN",Hilliard Gates Sports Center
Fresno State,Bulldogs,MWC,"Fresno, CA",Save Mart Center
Furman,Paladins,SoCon,"Greenville, SC",Timmons Arena
Gardner-Webb,Runnin' Bulldogs,Big South,"Boiling Springs, NC",Paul Porter Arena
George Mason,Patriots,A-10,"Fairfax, VA",EagleBank Arena
George Washington,Colonials,A-10,"Washington, DC",Charles E. Smith Athletic Center
Georgetown,Hoyas,Big East,"Washington, DC",Verizon Center
Georgia,Bulldogs,SEC,"Athens, GA",Stegeman Coliseum
Georgia Southern,Eagles,Sun Belt,"Statesboro, GA",Hanner Fieldhouse
Georgia State,Panthers,Sun Belt,"Atlanta, GA",GSU Sports Arena
Georgia Tech,Yellow Jackets,ACC,"Atlanta, GA",Hank McCamish Pavilion
Gonzaga,Bulldogs,WCC,"Spokane, WA",McCarthey Athletic Center
Grambling State,Tigers,SWAC,"Grambling, LA",GSU Assembly Center
Grand Canyon,Antelopes,WAC,"Phoenix, AZ",GCU Arena
Green Bay,Phoenix,Horizon,"Ashwaubenon, WI",Resch Center
Hampton,Pirates,MEAC,"Hampton, VA",Hampton Convocation Center
Hartford,Hawks,AM East,"Hartford, CT",Chase Arena
Harvard,Crimson,Ivy,"Boston, MA",Lavietes Pavilion
Hawaii,Warriors,Big West,"Honolulu, HI",Stan Sheriff Center
High Point,Panthers,Big South,"High Point, NC",Millis Athletic Convocation Center
Hofstra,Pride,CAA,"Hempstead, NY",David S. Mack Sports Complex
Holy Cross,Crusaders,Patriot,"Worcester, MA",Hart Center
Houston,Cougars,AAC,"Houston, TX",Hofheinz Pavilion
Houston Baptist,Huskies,Southland,"Houston, TX",Sharp Gymnasium
Howard,Bison,MEAC,"Washington, DC",Burr Gymnasium
Idaho,Vandals,Big Sky,"Moscow, ID",Kibbie Dome
Idaho State,Bengals,Big Sky,"Pocatello, ID",Holt Arena
Illinois,Fighting Illini,Big Ten,"Champaign, IL",State Farm Center
Illinois State,Redbirds,MVC,"Normal, IL",Redbird Arena
Illinois-Chicago,Flames,Horizon,"Chicago, IL",UIC Pavilion
Incarnate Word,Cardinals,Southland,"San Antonio, TX",McDermott Convocation Center
Indiana,Hoosiers,Big Ten,"Bloomington, IN",Assembly Hall
Indiana State,Sycamores,MVC,"Terre Haute, IN",Hulman Center
Iona,Gaels,MAAC,"New Rochelle, NY",Hynes Athletic Center
Iowa,Hawkeyes,Big Ten,"Iowa City, IA",Carver-Hawkeye Arena
Iowa State,Cyclones,Big 12,"Ames, IA",Hilton Coliseum
IUPUI,Jaguars,Summit,"Indianapolis, IN",Indiana Farmers Coliseum
Jackson State,Tigers,SWAC,"Jackson, MS",Williams Assembly Center
Jacksonville,Dolphins,A-Sun,"Jacksonville, FL",Jacksonville Veterans Memorial Arena
Jacksonville State,Gamecocks,OVC,"Jacksonville, AL",Pete Mathews Coliseum
James Madison,Dukes,CAA,"Harrisonburg, VA",James Madison University Convocation Center
Kansas,Jayhawks,Big 12,"Lawrence, KS",Phog Allen Fieldhouse
Kansas State,Wildcats,Big 12,"Manhattan, KS",Bramlage Coliseum
Kennesaw State,Owls,A-Sun,"Kennesaw, GA",KSU Convocation Center
Kent State,Golden Flashes,MAC,"Kent, OH",Memorial Athletic and Convocation Center
Kentucky,Wildcats,SEC,"Lexington, KY",Rupp Arena
La Salle,Explorers,A-10,"Philadelphia, PA",Tom Gola Arena
Lafayette,Leopards,Patriot,"Easton, PA",Kirby Sports Center
Lamar,Cardinals,Southland,"Beaumont, TX",Montagne Center
Lehigh,Mountain Hawks,Patriot,"Bethlehem, PA",Stabler Arena
Liberty,Flames,Big South,"Lynchburg, VA",Vines Center
Lipscomb,Bisons,A-Sun,"Nashville, TN",Allen Arena
Little Rock,Trojans,Sun Belt,"Little Rock, AR",Jack Stephens Center
Long Beach State,49ers,Big West,"Long Beach, CA",Walter Pyramid
Long Island,Brooklyn Blackbirds,NEC,"Brooklyn, NY",Steinberg Wellness Center
Longwood,Lancers,Big South,"Farmville, VA",Willett Hall
Louisiana Tech,Bulldogs,C-USA,"Ruston, LA",Thomas Assembly Center
Louisiana-Lafayette,Ragin' Cajuns,Sun Belt,"Lafayette, LA",Cajundome
Louisiana-Monroe,Warhawks,Sun Belt,"Monroe, LA",Fant-Ewing Coliseum
Louisville,Cardinals,ACC,"Louisville, KY",KFC Yum! Center
Loyola (IL),Ramblers,MVC,"Chicago, IL",Joseph J. Gentile Center
Loyola (MD),Greyhounds,Patriot,"Baltimore, MD",Reitz Arena
Loyola Marymount,Lions,WCC,"Los Angeles, CA",Gersten Pavilion
LSU,Tigers,SEC,"Baton Rouge, LA",Pete Maravich Assembly Center
Maine,Black Bears,AM East,"Orono, ME",Alfond Arena
Manhattan,Jaspers,MAAC,"Riverdale, NY",Draddy Gymnasium
Marist,Red Foxes,MAAC,"Poughkeepsie, NY",McCann Field House
Marquette,Golden Eagles,Big East,"Milwaukee, WI",BMO Harris Bradley Center
Marshall,Thundering Herd,C-USA,"Huntington, WV",Cam Henderson Center
Maryland,Terrapins,Big Ten,"College Park, MD",XFINITY Center
Maryland-Eastern Shore,Hawks,MEAC,"Princess Anne, MD",Hytche Athletic Center
Massachusetts,Minutemen,A-10,"Amherst, MA",Mullins Center
McNeese State,Cowboys,Southland,"Lake Charles, LA",Burton Coliseum
Memphis,Tigers,AAC,"Memphis, TN",FedExForum
Mercer,Bears,SoCon,"Macon, GA",Hawkins Arena
Miami (FL),Hurricanes,ACC,"Coral Gables, FL",Watsco Center
Miami (OH),RedHawks,MAC,"Oxford, OH",Millett Hall
Michigan,Wolverines,Big Ten,"Ann Arbor, MI",Crisler Arena
Michigan State,Spartans,Big Ten,"East Lansing, MI",Breslin Student Events Center
Middle Tennessee State,Blue Raiders,C-USA,"Murfreesboro, TN",Murphy Center
Milwaukee,Panthers,Horizon,"Milwaukee, WI",UW-Milwaukee Panther Arena
Minnesota,Gophers,Big Ten,"Minneapolis, MN",Williams Arena
Mississippi State,Bulldogs,SEC,"Starkville, MS",Humphrey Coliseum
Mississippi Valley State,Delta Devils,SWAC,"Itta Bena, MS",Harrison HPER Complex
Missouri,Tigers,SEC,"Columbia, MO",Mizzou Arena
Missouri State,Bears,MVC,"Springfield, MO",JQH Arena
Missouri-Kansas City,Kangaroos,WAC,"Kansas City, MO",Municipal Auditorium
Monmouth,Hawks,MAAC,"West Long Branch, NJ",OceanFirst Bank Center
Montana,Grizzlies,Big Sky,"Missoula, MT",Dahlberg Arena
Montana State,Fighting Bobcats,Big Sky,"Bozeman, MT",Worthington Arena
Morehead State,Eagles,OVC,"Morehead, KY",Ellis Johnson Arena
Morgan State,Bears,MEAC,"Baltimore, MD",Talmadge L. Hill Field House
Mount St. Mary's,Mountaineers,NEC,"Emmitsburg, MD",Knott Arena
Murray State,Racers,OVC,"Murray, KY",CFSB Center
N.J.I.T.,Highlanders,A-Sun,"Newark, NJ",Fleisher Center
Navy,Midshipmen,Patriot,"Annapolis, MD",Alumni Hall
NC State,Wolfpack,ACC,"Raleigh, NC",PNC Arena
Nebraska,Cornhuskers,Big Ten,"Lincoln, NE",Pinnacle Bank Arena
Nevada,Wolf Pack,MWC,"Reno, NV",Lawlor Events Center
New Hampshire,Wildcats,AM East,"Durham, NH",Lundholm Gym
New Mexico,Lobos,MWC,"Albuquerque, NM",University Arena
New Mexico State,Aggies,WAC,"Las Cruces, NM",Pan American Center
New Orleans,Privateers,Southland,"New Orleans, LA",Lakefront Arena
Niagara,Purple Eagles,MAAC,"Lewiston, NY",Gallagher Center
Nicholls State,Colonels,Southland,"Thibodaux, LA",Stopher Gym
Norfolk State,Spartans,MEAC,"Norfolk, VA",Joseph G. Echols Memorial Hall
North Carolina,Tar Heels,ACC,"Chapel Hill, NC",Dean Smith Center
North Carolina A&T,Aggies,MEAC,"Greensboro, NC",Corbett Sports Center
North Carolina Central,Eagles,MEAC,"Durham, NC",McLendon-McDougald Gymnasium
North Dakota,Fighting Hawks,Big Sky,"Grand Forks, ND",Betty Engelstad Sioux Center
North Dakota State,Bison,Summit,"Fargo, ND",Scheels Arena
North Florida,Ospreys,A-Sun,"Jacksonville, FL",UNF Arena
North Texas,Mean Green,C-USA,"Denton, TX",UNT Coliseum
Northeastern,Huskies,CAA,"Boston, MA",Matthews Arena
Northern Arizona,Lumberjacks,Big Sky,"Flagstaff, AZ",Walkup Skydome
Northern Colorado,Bears,Big Sky,"Greeley, CO",Bank of Colorado Arena
Northern Illinois,Huskies,MAC,"DeKalb, IL",Convocation Center
Northern Iowa,Panthers,MVC,"Cedar Falls, IA",UNI-Dome
Northern Kentucky,Norse,Horizon,"Highland Heights, KY",BB&T Arena
Northwestern,Wildcats,Big Ten,"Evanston, IL",Welsh-Ryan Arena
Northwestern State,Demons,Southland,"Natchitoches, LA",Prather Coliseum
Notre Dame,Fighting Irish,ACC,"Notre Dame, IN",Edmund P. Joyce Center
Oakland,Golden Grizzlies,Horizon,"Rochester, MI",Athletics Center O'Rena
Ohio,Bobcats,MAC,"Athens, OH",Convocation Center
Ohio State,Buckeyes,Big Ten,"Columbus, OH",Value City Arena
Oklahoma,Sooners,Big 12,"Norman, OK",Lloyd Noble Center
Oklahoma State,Cowboys,Big 12,"Stillwater, OK",Gallagher IBA Arena
Old Dominion,Monarchs,C-USA,"Norfolk, VA",Ted Constant Convocation Center
Ole Miss,Rebels,SEC,"Oxford, MS",Tad Smith Coliseum
Omaha,Mavericks,Summit,"Omaha, NE",Baxter Arena
Oral Roberts,Golden Eagles,Summit,"Tulsa, OK",Mabee Center
Oregon,Ducks,Pac-12,"Eugene, OR",Matthew Knight Arena
Oregon State,Beavers,Pac-12,"Corvallis, OR",Gill Coliseum
Pacific,Tigers,WCC,"Stockton, CA",Alex G. Spanos Center
Penn State,Nittany Lions,Big Ten,"University Park, PA",Bryce Jordan Center
Pennsylvania,Quakers,Ivy,"Philadelphia, PA",Palestra
Pepperdine,Waves,WCC,"Malibu, CA",Firestone Fieldhouse
Pittsburgh,Panthers,ACC,"Pittsburgh, PA",Petersen Events Center
Portland,Pilots,WCC,"Portland, OR",Chiles Center
Portland State,Vikings,Big Sky,"Portland, OR",Peter Stott Center
Prairie View A&M,Panthers,SWAC,"Prairie View, TX",William Nicks Building
Presbyterian,Blue Hose,Big South,"Clinton, SC",Furman Pinson Arena
Princeton,Tigers,Ivy,"Princeton, NJ",Jadwin Gymnasium
Providence,Friars,Big East,"Providence, RI",Dunkin Donuts Center
Purdue,Boilermakers,Big Ten,"West Lafayette, IN",Mackey Arena
Quinnipiac,Bobcats,MAAC,"Hamden, CT",TD Bank Sports Center
Radford,Highlanders,Big South,"Radford, VA",Dedmon Center
Rhode Island,Rams,A-10,"Kingston, RI",Ryan Center
Rice,Owls,C-USA,"Houston, TX",Tudor Fieldhouse
Richmond,Spiders,A-10,"Richmond, VA",Robins Center
Rider,Broncs,MAAC,"Lawrenceville, NJ",Alumni Gymnasium
Robert Morris,Colonials,NEC,"Moon Township, PA",Sewall Center
Rutgers,Scarlet Knights,Big Ten,"Piscataway, NJ",Louis Brown Athletic Center
Sacramento State,Hornets,Big Sky,"Sacramento, CA",Colberg Court
Sacred Heart,Pioneers,NEC,"Fairfield, CT",William H. Pitt Center
Saint Joseph's,Hawks,A-10,"Philadelphia, PA",Hagan Arena
Saint Louis,Billikens,A-10,"St. Louis, MO",Chaifetz Arena
Saint Mary's,Gaels,WCC,"Moraga, CA",McKeon Pavilion
Saint Peter's,Peacocks,MAAC,"Jersey City, NJ",Yanitelli Center
Sam Houston State,Bearkats,Southland,"Huntsville, TX",Bernard Johnson Coliseum
Samford,Bulldogs,SoCon,"Homewood, AL",Pete Hanna Center
San Diego,Toreos,WCC,"San Diego, CA",Jenny Craig Pavilion
San Diego State,Aztecs,MWC,"San Diego, CA",Viejas Arena
San Francisco,Dons,WCC,"San Francisco, CA",War Memorial Gymnasium
San Jose State,Spartans,MWC,"San Jose, CA",The Event Center Arena
Santa Clara,Broncos,WCC,"Santa Clara, CA",Leavey Center
Savannah State,Tigers,MEAC,"Savannah, GA",Tiger Arena
Seattle,Redhawks,WAC,"Seattle, WA",KeyArena
Seton Hall,Pirates,Big East,"Newark, NJ",Prudential Center
Siena,Saints,MAAC,"Albany, NY",Times Union Center
SIU-Edwardsville,Cougars,OVC,"Edwardsville, IL",Sam M. Vadalabene Center
South Alabama,Jaguars,Sun Belt,"Mobile, AL",Mitchell Center
South Carolina,Gamecocks,SEC,"Columbia, SC",Colonial Life Arena
South Carolina State,Bulldogs,MEAC,"Orangeburg, SC",SHM Memorial Center
South Dakota,Coyotes,Summit,"Vermillion, SD",DakotaDome
South Dakota State,Jackrabbits,Summit,"Brookings, SD",Frost Arena
South Florida,Bulls,AAC,"Tampa, FL",USF Sun Dome
Southeast Missouri State,Redhawks,OVC,"Cape Girardeau, MO",Show Me Center
Southeastern Louisiana,Lions,Southland,"Hammond, LA",University Center
Southern,Jaguars,SWAC,"Baton Rouge, LA",F. G. Clark Center
Southern Illinois,Salukis,MVC,"Carbondale, IL",SIU Arena
Southern Methodist,Mustangs,AAC,"Dallas, TX",Moody Coliseum
Southern Mississippi,Golden Eagles,C-USA,"Hattiesburg, MS",Reed Green Coliseum
Southern Utah,Thunderbirds,Big Sky,"Cedar City, UT",Centrum Arena
St. Bonaventure,Bonnies,A-10,"St. Bonaventure, NY",Reilly Center
St. Francis (NY),Terriers,NEC,"Brooklyn, NY",Pope Physical Education Center
St. Francis (PA),Red Flash,NEC,"Loretto, PA",DeGol Arena
St. John's,Red Storm,Big East,"Queens, NY",Carnesecca Arena
Stanford,Cardinal,Pac-12,"Stanford, CA",Maples Pavilion
Stephen F. Austin,Lumberjacks,Southland,"Nacogdoches, TX",William R. Johnson Coliseum
Stetson,Hatters,A-Sun,"DeLand, FL",Edmunds Center
Stony Brook,Seawolves,AM East,"Stony Brook, NY",Island Federal Credit Union Arena
Syracuse,Orange,ACC,"Syracuse, NY",Carrier Dome
Temple,Owls,AAC,"Philadelphia, PA",Liacouras Center
Tennessee,Volunteers,SEC,"Knoxville, TN",Thompson-Boling Center
Tennessee State,Tigers,OVC,"Nashville, TN",Gentry Complex
Tennessee Tech,Golden Eagles,OVC,"Cookeville, TN",Eblen Center
Tennessee-Martin,Skyhawks,OVC,"Martin, TN",Skyhawk Arena
Texas,Longhorns,Big 12,"Austin, TX",Frank Erwin Center
Texas A&M,Aggies,SEC,"College Station, TX",Reed Arena
Texas A&M-CC,Islanders,Southland,"Corpus Christi, TX",American Bank Center
Texas Christian,Frogs,Big 12,"Fort Worth, TX",Schollmaier Arena
Texas Southern,Tigers,SWAC,"Houston, TX",Health and Physical Education Arena
Texas State,Bobcats,Sun Belt,"San Marcos, TX",Strahan Coliseum
Texas Tech,Red Raiders,Big 12,"Lubbock, TX",United Supermarkets Arena
Texas-Arlington,Mavericks,Sun Belt,"Arlington, TX",College Park Center
Texas-RGV,Vaqueros,WAC,"Edinburg, TX",UTPA Fieldhouse
Texas-San Antonio,Roadrunners,C-USA,"San Antonio, TX",Convocation Center
Toledo,Rockets,MAC,"Toledo, OH",Savage Arena
Towson,Tigers,CAA,"Towson, MD",SECU Arena
Troy,Trojans,Sun Belt,"Troy, AL",Trojan Arena
Tulane,Green Wave,AAC,"New Orleans, LA",Devlin Fieldhouse
Tulsa,Golden Hurricane,AAC,"Tulsa, OK",Reynolds Center
UAB,Blazers,C-USA,"Birmingham, AL",Bartow Arena
UC Davis,Aggies,Big West,"Davis, CA",The Pavilion
UC Irvine,Anteaters,Big West,"Irvine, CA",Bren Events Center
UC Riverside,Highlanders,Big West,"Riverside, CA",UC Riverside Student Recreation Center
UC Santa Barbara,Gauchos,Big West,"Santa Barbara, CA",Thunderdome
UCF,Knights,AAC,"Orlando, FL",CFE Federal Credit Union Arena
UCLA,Bruins,Pac-12,"Los Angeles, CA",Pauley Pavilion
UMass Lowell,River Hawks,AM East,"Lowell, MA",Costello Athletic Center
UMBC,Retrievers,AM East,"Catonville, MD",Retriever Activities Center
UNC Asheville,Bulldogs,Big South,"Asheville, NC",Kimmel Arena
UNC Greensboro,Spartans,SoCon,"Greensboro, NC",Greensboro Coliseum
UNC Wilmington,Seahawks,CAA,"Wilmington, NC",Trask Coliseum
UNLV,Runnin' Rebels,MWC,"Las Vegas, NV",Thomas & Mack Center
USC,Trojans,Pac-12,"Los Angeles, CA",Galen Center
USC Upstate,Spartans,A-Sun,"Spartanburg, SC",G.B. Hodge Center
Utah,Utes,Pac-12,"Salt Lake City, UT",Jon M. Huntsman Center
Utah State,Aggies,MWC,"Logan, UT",Smith Spectrum
Utah Valley,Wolverines,WAC,"Orem, UT",UCCU Center
UTEP,Miners,C-USA,"El Paso, TX",Don Haskins Center
Valparaiso,Crusaders,Horizon,"Valparaiso, IN",Athletics-Recreation Center
Vanderbilt,Commodores,SEC,"Nashville, TN",Memorial Gymnasium
VCU,Rams,A-10,"Richmond, VA",Stuart C. Siegel Center
Vermont,Catamounts,AM East,"Burlington, VT",Patrick Gym
Villanova,Wildcats,Big East,"Villanova, PA",The Pavilion
Virginia,Cavaliers,ACC,"Charlottesville, VA",John Paul Jones Arena
Virginia Military,Keydets,SoCon,"Lexington, VA",Cameron Hall
Virginia Tech,Hokies,ACC,"Blacksburg, VA",Cassell Coliseum
Wagner,Seahawks,NEC,"Staten Island, NY",Spiro Sports Center
Wake Forest,Demon Deacons,ACC,"Winston-Salem, NC",Lawrence Joel Veterans Memorial Coliseum
Washington,Huskies,Pac-12,"Seattle, WA",Alaska Airlines Arena at Hec Edmundson Pavilion
Washington State,Cougars,Pac-12,"Pullman, WA",Beasley Coliseum
Weber State,Wildcats,Big Sky,"Ogden, UT",Dee Events Center
West Virginia,Mountaineers,Big 12,"Morgantown, WV",WVU Coliseum
Western Carolina,Catamounts,SoCon,"Cullowhee, NC",Ramsey Center
Western Illinois,Leathernecks,Summit,"Macomb, IL",Western Hall
Western Kentucky,Hilltoppers,C-USA,"Bowling Green, KY",E. A. Diddle Arena
Western Michigan,Broncos,MAC,"Kalamazoo, MI",University Arena
Wichita State,Shockers,MVC,"Wichita, KS",Charles Koch Arena
William & Mary,Tribe,CAA,"Williamsburg, VA",Kaplan Arena
Winthrop,Eagles,Big South,"Rock Hill, SC",Winthrop Coliseum
Wisconsin,Badgers,Big Ten,"Madison, WI",Kohl Center
Wofford,Terriers,SoCon,"Spartanburg, SC",Benjamin Johnson Arena
Wright State,Raiders,Horizon,"Dayton, OH",Nutter Center
Wyoming,Cowboys,MWC,"Laramie, WY",Arena-Auditorium
Xavier,Musketeers,Big East,"Cincinnati, OH",Cintas Center
Yale,Bulldogs,Ivy,"New Haven, CT",John J. Lee Amphitheater
Youngstown State,Penguins,Horizon,"Youngstown, OH",Beeghly Center